,id,pred_avg,pred_stdev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,I01,,,0.2888142,0.23780768,0.22103506,0.28239006,,0.30372223,0.24457905,0.18755299,0.24308872,0.31841257,0.36771417,0.2726215,0.29352087,0.2234079,0.33234367,,0.2219965,0.28977105,0.27325404,0.315425
1,I02,0.31016797,0.04636038,0.33304948,0.3249715,0.28700656,0.29395446,0.26428327,0.33092746,0.31714198,0.23323306,0.29100683,0.31687218,0.4030901,0.28648892,0.33736816,0.28307736,0.3545068,0.18623626,0.32944334,0.33179387,0.3320227,0.36688456
2,I03,,,0.21653278,0.15072337,0.12356068,0.2071614,0.15504089,0.2361266,0.23304571,,0.14416248,0.17439339,0.29583597,0.17747486,0.23350462,,0.26409587,,0.21970657,0.2429604,0.18289487,0.19879076
3,I04,,,0.215455,0.1446702,0.120435454,0.20773838,0.15226568,0.2348364,0.23382416,,0.14212883,0.17271644,0.29578882,0.17701839,0.23321472,,0.26471484,,0.21949805,0.2423073,0.18186507,0.196659
4,I05,0.3105548,0.046217192,0.3333786,0.32524306,0.2874348,0.29479071,0.2647522,0.33141342,0.31745026,0.23320034,0.29120463,0.31711957,0.40327147,0.28662586,0.33782834,0.28368643,0.35523283,0.18759452,0.32968968,0.3320233,0.33231047,0.36684585
5,I06,,,0.21478386,0.14083739,0.11861777,0.20806918,0.15087123,0.23436025,0.23417626,,0.14096138,0.17181642,0.29576474,0.17659287,0.23296969,,0.26523358,,0.21953624,0.2418536,0.18124297,0.19541486
6,I07,0.27295882,0.06376708,0.2959503,0.08361208,0.2681595,0.30202052,0.16771626,0.32993087,0.26216874,0.26714218,0.26512146,0.3231927,0.35108703,0.32122895,0.31788978,0.24156839,0.35379893,0.1829281,0.28673673,0.29971614,0.26712024,0.27208737
7,I08,0.27386203,0.067601696,0.29743546,0.055774573,0.27221847,0.3076829,0.17346035,0.3337432,0.26341864,0.26958174,0.26490408,0.3258767,0.35300833,0.32146534,0.32047844,0.24327895,0.35727847,0.19500758,0.28643137,0.2971717,0.26854736,0.27047685
8,I09,,,0.29669988,,0.2721723,0.30877402,0.17096393,0.33386847,0.26394743,0.26954198,0.26408106,0.32634526,0.35301757,0.32158804,0.320817,0.24255942,0.35698935,0.19601278,0.28520575,0.2957784,0.267713,0.2680167
9,I10,,,0.2962558,,0.27214012,0.30942318,0.1694847,0.33395147,0.2642483,0.26953906,0.2635847,0.32662854,0.35300952,0.32167006,0.3210206,0.24212891,0.35681808,0.19667223,0.28449214,0.29494163,0.26722538,0.26652074
10,I11,0.27785343,0.061997406,0.30010316,0.087261505,0.275007,0.3090746,0.1831748,0.33602446,0.26286995,0.27158454,0.2668056,0.3264885,0.35412905,0.32126486,0.32144704,0.2461009,0.3603539,0.20078923,0.28937528,0.298695,0.2715975,0.27492124
11,I12,0.33329076,0.03076738,0.3444765,0.30363235,0.31556052,0.32397056,0.3346577,0.36830282,0.33412954,0.29520923,0.30817753,0.32715076,0.38568544,0.32450444,0.36545637,0.30586392,0.38147217,0.25879002,0.37300825,0.34314328,0.3380137,0.33461046
12,I13,0.3358023,0.030350197,0.3460341,0.3035286,0.31950906,0.33203042,0.34066847,0.37205172,0.33503836,0.29687744,0.30818975,0.330635,0.38759524,0.32479805,0.36807168,0.30873507,0.38432443,0.26661265,0.3756785,0.34151432,0.33919635,0.3349571
