LaBa,LaSr,LaPr,LaCa,BaSr,BaPr,BaCa,SrPr,SrCa,PrCa,MnFe,MnCo,MnNi,MnCu,FeCo,FeNi,FeCu,CoNi,CoCu,NiCu,Fe,Co
0.08702248,0.08087966,0.07134288,0.09966658,0.03474786,-0.02471376,0.04033328,-0.04050358,0.03790074,-0.04015766,-0.01579674,-0.01592182,-0.0161768,-0.01562594,-0.01421342,-0.01426998,-0.01358618,-0.01466034,-0.01421272,-0.01428058,0.00862126,0.00788568
0.0317004,0.0418788,0.05396804,0.05815026,-0.11691786,-0.18332802,-0.1179702,-0.16533556,-0.09920162,-0.15621822,-0.09881246,-0.09844174,-0.0983193,-0.09878246,-0.09450772,-0.09437992,-0.09466722,-0.09443672,-0.09462002,-0.09453894,0.05118341,0.05113724
0.08362028,0.07421318,0.06448294,0.08384818,0.01570186,-0.06986236,0.02201024,-0.07481944,0.01660646,-0.0637631,-0.0449439,-0.04596204,-0.04557184,-0.04501782,-0.03941602,-0.0393535,-0.0383938,-0.04026914,-0.03926696,-0.03974564,0.02529284,0.02638396
0.01486372,0.01947586,-0.00661986,0.01465886,-0.11122018,-0.12108882,-0.1174568,-0.11922334,-0.11602388,-0.12234354,-0.05635944,-0.05634938,-0.0564179,-0.0563014,-0.05272826,-0.0524826,-0.05232152,-0.05251146,-0.05237384,-0.0522301,0.03002097,0.03014624
0.0433311,0.06652166,-0.00279894,0.06703412,0.05477654,-0.031529,0.0577845,-0.05361928,0.0615496,-0.05747836,-0.03655398,-0.03655314,-0.0358997,-0.03527742,-0.03512872,-0.03516078,-0.03468012,-0.03542388,-0.0352199,-0.03509526,0.01883959,0.01936838
0.03073596,0.03321664,0.01957356,0.04495864,-0.13338364,-0.08149894,-0.12432352,-0.0817479,-0.12373954,-0.07597218,-0.04379384,-0.04384744,-0.0438839,-0.04285466,-0.04404692,-0.04331766,-0.04316216,-0.04386974,-0.04335756,-0.04288946,0.02181536,0.02099234
0.13045464,0.10584518,0.11772858,0.11379378,-0.05259146,-0.02987024,-0.04798282,-0.04609498,-0.06153952,-0.03997434,-0.01224212,-0.01227384,-0.01214256,-0.01231458,-0.00984148,-0.00971446,-0.00980308,-0.0095776,-0.00962166,-0.0098487,0.00746413,0.00793269
0.1222033,0.12678804,0.1250617,0.13681854,0.11388638,0.06760682,0.11421956,0.07542594,0.1195958,0.06990138,0.03124596,0.0313709,0.03108082,0.03122698,0.03284354,0.03294494,0.03292878,0.03295912,0.03307568,0.03307914,-0.01470584,-0.0146966
0.06092862,0.07464962,0.02721798,0.05062074,-0.06889988,-0.145949,-0.08422746,-0.13132868,-0.0802667,-0.13656422,-0.0981269,-0.09709978,-0.09816694,-0.09792836,-0.0972792,-0.09722408,-0.09749366,-0.09719396,-0.09743856,-0.09742262,0.04884384,0.04896654
-0.0017735,0.00147358,-0.00989656,0.00205628,-0.10005222,-0.1068382,-0.10905574,-0.10662566,-0.10691386,-0.11641658,-0.05221554,-0.05307792,-0.05214804,-0.05177694,-0.04996272,-0.04943056,-0.04906374,-0.04959018,-0.04939144,-0.04839838,0.02695757,0.02729613
0.03539626,0.03173948,0.01796276,0.0367216,-0.06267276,-0.09360672,-0.06439722,-0.08619722,-0.06107152,-0.08540136,-0.04656364,-0.04659476,-0.0464475,-0.0465336,-0.043126,-0.04309682,-0.04309052,-0.0431432,-0.04331818,-0.04305212,0.0249348,0.02464568
-0.10911262,-0.10781156,-0.1292201,-0.10767708,-0.22284662,-0.25577488,-0.22313988,-0.25189922,-0.22392734,-0.25533734,-0.12971196,-0.1297914,-0.13028416,-0.12909834,-0.12935396,-0.12927316,-0.12901812,-0.12973932,-0.12913986,-0.1291267,0.06443487,0.06320925
0.0576762,0.06861896,0.03436848,0.07506182,0.03271718,-0.02421122,0.03343796,-0.01482216,0.0395363,-0.0088849,-0.0174852,-0.01741336,-0.01769608,-0.0174831,-0.02013816,-0.01992852,-0.02012282,-0.0203411,-0.02011448,-0.02054042,0.00740065,0.00600735
0.10950568,0.12305492,0.06917542,0.1094823,0.03938198,0.02038998,0.04241682,0.02025056,0.04333424,0.03728302,0.01035682,0.01047938,0.01043378,0.01048754,0.01221228,0.01229544,0.0124045,0.01207298,0.0121932,0.01222008,-0.00470668,-0.00554104
0.1690253,0.17132314,0.18498374,0.15586444,0.12727268,0.12524764,0.11503766,0.11072976,0.1227898,0.12747642,0.0877171,0.0889589,0.08888278,0.0879105,0.08664506,0.08645936,0.0866554,0.0865,0.08679954,0.0873511,-0.04494815,-0.0474083
