,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
0,P01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7481132,0.10897934
1,P02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.89688843,0.80125964
2,P03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0024492806,0.61573553
3,P04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34104535,0.08624759
4,P05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8502424,0.3049748
5,P06,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8580094,0.70944846
6,P07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21973282,0.70678854
7,P08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19784409,0.16112952
8,P09,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.90063304,0.20811667
9,P10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.74653864,0.7602849
10,P11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15577246,0.6399943
11,P12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24484739,0.25877842
12,P13,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99845177,0.38418528
13,P14,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6364783,0.906123
14,P15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2759781,0.871281
15,P16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09402267,0.23174489
16,P17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9724464,0.28131384
17,P18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.77255964,0.87924594
18,P19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10196482,0.74094266
19,P20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1322302,0.33965123
20,P21,0.0,0.5,0.5,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.18780583,0.675884
21,P22,0.0,0.5,0.0,0.5,0.0,0.0,0.25,0.75,0.0,0.0,0.2329658,0.743873
22,P23,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.6626718,0.116999954
23,P24,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.8619171,0.8308569
24,P25,0.4,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.078950964,0.6960947
25,P26,0.6,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.06318304,0.68046486
26,P27,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.7438334,0.10725378
27,P28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.6153159
28,P29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.34228784,0.0856379
29,P30,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.22422826,0.74949545
30,P31,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.27224115,0.8647954
31,P32,0.0,0.0,0.0,0.625,0.375,1.0,0.0,0.0,0.0,0.0,0.9730464,0.35070467
32,P33,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.4512082,0.6566447
33,P34,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.8201165,0.846185
34,P35,0.75,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.55245453,0.008766408
35,P36,0.7,0.0,0.3,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.7719766,0.12785366
36,P37,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.8452041,0.31063974
37,P38,0.4,0.0,0.0,0.0,0.6,0.0,0.5,0.5,0.0,0.0,0.4748753,0.64823556
38,P39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.3436537,0.08500229
39,P40,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.3421736,0.08580758
40,S00001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21973282,0.70678854
41,S00002,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8580099,0.70944846
42,S00003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1978476,0.16112858
43,S00004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8502398,0.3049753
44,S00005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15577246,0.6399943
45,S00006,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7465385,0.76028496
46,S00007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24484739,0.25877842
47,S00008,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.900634,0.20811328
48,S00009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10196482,0.74094266
49,S00010,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7725606,0.879264
50,S00011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1322302,0.33965123
51,S00012,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9724463,0.28131384
52,S00013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2759781,0.871281
53,S00014,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.63647836,0.90612286
54,S00015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09402267,0.23174489
55,S00016,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99845344,0.38418654
56,S00017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0024492806,0.61573553
57,S00018,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.89688843,0.80125964
58,S00019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34104535,0.08624759
59,S00020,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7481132,0.10897934
60,S00021,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.22786887,0.7034889
61,S00022,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.853416,0.7049974
62,S00023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.22519831,0.70224434
63,S00024,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.8481401,0.70075953
64,S00025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.1977853,0.16034965
65,S00026,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.19803937,0.160336
66,S00027,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.2254608,0.6966716
67,S00028,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.85756433,0.70059335
68,S00029,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.19793943,0.16024876
69,S00030,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.8461607,0.30961102
70,S00031,0.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.8469698,0.309071
71,S00032,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.846727,0.3088577
72,S00033,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.3458024,0.6539511
73,S00034,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.5371933,0.6294478
74,S00035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.22363229,0.48515025
75,S00036,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.8325522,0.697006
76,S00037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.23292544,0.46481183
77,S00038,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.3296565,0.3132241
78,S00039,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.22942987,0.6780243
79,S00040,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.86299545,0.57338756
80,S00041,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.5655755,0.3257124
81,S00042,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.8294448,0.32618636
82,S00043,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.8738718,0.5387423
83,S00044,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.6433796,0.34916058
84,S00045,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.16104737,0.6333401
85,S00046,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.7420452,0.7561351
86,S00047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.16000177,0.63223475
87,S00048,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.73780686,0.75503737
88,S00049,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.2473464,0.2633919
