,id,pred_avg,pred_stdev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,P01,0.566588867,0.008995965,0.5696651,0.573103,0.5652845,0.55622196,0.5687992,0.560454,0.578911,0.5618255,0.55362,0.5644017,0.57663435,0.56132555,0.58800364,0.5485758,0.57264376,0.55967414,0.56596124,0.5651608,0.5666246,0.5748875
1,P02,0.548970027,0.016402208,0.5594228,0.5610225,0.549741,0.55043167,0.552997,0.5207233,0.5471665,0.5496724,0.5139391,0.5503845,0.5598027,0.5311459,0.57425445,0.54071736,0.56266135,0.58687574,0.54837596,0.54661846,0.5353417,0.53810614
2,P03,0.535677155,0.008279117,0.53138614,0.5424165,0.53930897,0.5311032,0.5350941,0.5243013,0.54748243,0.5305869,0.52256,0.5472698,0.53978384,0.52338594,0.5467096,0.52268434,0.54323065,0.54293245,0.5416034,0.5351403,0.52797073,0.5385925
3,P04,0.58093525,0.010199646,0.5807813,0.58186436,0.5832967,0.57393897,0.5807671,0.5852386,0.60122544,0.5716227,0.5777383,0.59058845,0.58403224,0.56877553,0.59897035,0.55487293,0.5868118,0.57280624,0.5883849,0.57261807,0.57949257,0.58487844
4,P05,0.482886213,0.011235181,0.48954594,0.49906945,0.48690698,0.4813427,0.4901843,0.47649243,0.49316984,0.4817543,0.4742833,0.48832396,0.494108,0.47015992,0.49538314,0.45614797,0.493883,0.46043324,0.48497745,0.4840939,0.4727896,0.48467484
5,P06,0.467585289,0.012410855,0.47214004,0.48550785,0.4720325,0.47003242,0.47657922,0.45172617,0.46680376,0.4713487,0.44391277,0.47159296,0.47880456,0.4507202,0.4937338,0.45564976,0.4811909,0.46034926,0.46899,0.4674296,0.45062032,0.46254098
6,P07,0.44796765,0.009902404,0.44458997,0.4657989,0.45539457,0.44993794,0.45572364,0.4375144,0.45109418,0.445457,0.43704587,0.45525098,0.4542886,0.43597794,0.46527195,0.4384577,0.4579507,0.43140635,0.44758698,0.44555458,0.43247092,0.45257983
7,P08,0.520925713,0.013044484,0.5128802,0.53403157,0.5181548,0.4990076,0.52347225,0.53577536,0.50820494,0.522677,0.5341374,0.5224334,0.51989716,0.5024841,0.55663085,0.51411724,0.52612156,0.50538546,0.53038776,0.5114777,0.5207759,0.520462
8,P09,0.490164938,0.011316594,0.49613976,0.5025858,0.49176413,0.48843846,0.49573535,0.48493066,0.50104517,0.48788834,0.48185965,0.49315548,0.5000528,0.47773257,0.51391083,0.46967906,0.5011049,0.46513504,0.49151227,0.49098012,0.47915396,0.4904944
9,P10,0.461854216,0.012086032,0.46466574,0.47876284,0.4661951,0.46581602,0.46995488,0.44522375,0.46139833,0.46593586,0.43855396,0.46587697,0.47260436,0.44608182,0.4867725,0.4508492,0.47595322,0.45589444,0.46275023,0.46251732,0.44425622,0.45702156
10,P11,0.449062317,0.009455161,0.44443077,0.46468112,0.45575622,0.45191282,0.45588627,0.44088438,0.45394412,0.44572884,0.44091722,0.45575163,0.45444414,0.43888748,0.46495894,0.43894368,0.459458,0.43038517,0.4485247,0.4473042,0.43384323,0.4546034
11,P12,0.469357292,0.010446581,0.46524394,0.48049912,0.47417754,0.4703788,0.4758269,0.4719047,0.4791406,0.46157667,0.47023842,0.474117,0.472319,0.46231496,0.48521525,0.45461008,0.47911677,0.43890357,0.4697745,0.4665668,0.45699942,0.4782218
12,P13,0.560998354,0.01190612,0.5694794,0.57031834,0.56040204,0.55403996,0.56371295,0.54248166,0.5632555,0.5632208,0.53326774,0.55762446,0.5758029,0.55054325,0.5881221,0.54765505,0.5710783,0.57184553,0.5603332,0.5613611,0.5564398,0.558983
13,P14,0.534472297,0.015638352,0.5412467,0.54665536,0.5387281,0.53746074,0.53848594,0.5037145,0.53315836,0.53412324,0.50336456,0.5368592,0.5432481,0.5182989,0.5577816,0.53087413,0.54789084,0.57109135,0.5298789,0.53036886,0.5199212,0.52629536
14,P15,0.532733162,0.012704694,0.5325592,0.54148626,0.5384003,0.5319876,0.53363806,0.5090201,0.5371511,0.53449327,0.5059975,0.5421378,0.5412401,0.515968,0.55160326,0.52228963,0.54310316,0.55684733,0.5371376,0.5335447,0.5203959,0.52566236
