id,name,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1,intensity_0,intensity_1,intensity_2,intensity_3,intensity_4,intensity_5,intensity_6,position_0,position_1,position_2,position_3,position_4,position_5,position_6
P01,LaMnO3,1,0,0,0,0,1,0,0,0,0,0.592,0.7481132,0.10897934,0.1289,1,0.1482,0.3456,0.2483,0.0718,0.0911,0.255166667,0.362946667,0.448005556,0.520352222,0.647114444,0.759336667,0.865324444
P02,LaFeO3,1,0,0,0,0,0,1,0,0,0,0.569,0.89688843,0.80125964,0.1376,1,0.1948,0.3577,0.4762,0.1696,0.1472,0.252166667,0.358574444,0.44221,0.513872222,0.639211111,0.749918889,0.853044444
P03,LaCoO3,1,0,0,0,0,0,0,1,0,0,0.565,0.002449281,0.61573553,0.2362,1,0.2723,0.7079,0.5034,0.1314,0.1078,0.259012222,0.368624444,0.45275,0.529101111,0.656664444,0.777862222,0.884111111
P04,LaNiO3,1,0,0,0,0,0,0,0,1,0,0.555,0.34104535,0.08624759,0.212,1,0.1245,0.3962,0.2983,0.0995,0.0825,0.258766667,0.365665556,0.452242222,0.527201111,0.653665556,0.765544444,0.873776667
P05,BaMnO3,0,1,0,0,0,1,0,0,0,0,0.496,0.8502424,0.3049748,0.112,1,0.2749,0.0767,0.132,0.0948,0.0334,0.268138889,0.349501111,0.469362222,0.554766667,0.621282222,0.727997778,0.903064444
P06,BaFeO3,0,1,0,0,0,0,1,0,0,0,0.495,0.8580094,0.70944846,0.2647,1,0.4352,0.4681,0.618,0.1288,0.0493,0.286174444,0.348551111,0.470931111,0.521412222,0.628312222,0.760276667,0.882114444
P07,BaCoO3,0,1,0,0,0,0,0,1,0,0,0.463,0.21973282,0.70678854,0.1338,1,0.4524,0.2028,0.1974,0.0349,0.0633,0.26755,0.349223333,0.464804444,0.59051,0.72799,0.799695556,0.918216667
P08,BaNiO3,0,1,0,0,0,0,0,0,1,0,0.562,0.19784409,0.16112952,0.3799,1,0.5983,0.2589,0.3378,0.1405,0.114,0.288942222,0.35091,0.464965556,0.596505556,0.701362222,0.760704444,0.885687778
P09,SrMnO3,0,0,1,0,0,1,0,0,0,0,0.537,0.90063304,0.20811667,0.7355,1,0.6859,0.4988,0.1602,0.0869,0.0498,0.303153333,0.365501111,0.480641111,0.544185556,0.669381111,0.766895556,0.887325556
P10,SrFeO3,0,0,1,0,0,0,1,0,0,0,0.485,0.74653864,0.7602849,0.025,1,0.2004,0.5832,0.3471,0.2673,0.1883,0.257804444,0.363117778,0.45193,0.524212222,0.650297778,0.765677778,0.871584444
P11,SrCoO3,0,0,1,0,0,0,0,1,0,0,0.477,0.15577246,0.6399943,0.9179,1,0.4464,0.0724,0.2551,0.1014,0.07,0.318203333,0.363192222,0.489095556,0.534164444,0.62057,0.761337778,0.842884444
P12,SrNiO3,0,0,1,0,0,0,0,0,1,0,0.514,0.24484739,0.25877842,0.3441,1,0.5314,0.1735,0.2984,0.1216,0.0585,0.283091111,0.364428889,0.494022222,0.557885556,0.700927778,0.763661111,0.886171111
P13,PrMnO3,0,0,0,1,0,1,0,0,0,0,0.56,0.99845177,0.38418528,0.1601,1,0.1655,0.2457,0.3545,0.1072,0.0707,0.255894444,0.363805556,0.449248889,0.522237778,0.651105556,0.764073333,0.872663333
P14,PrFeO3,0,0,0,1,0,0,1,0,0,0,0.539,0.6364783,0.906123,0.158,1,0.0633,0.2911,0.2649,0.1181,0.1157,0.253792222,0.361031111,0.445816667,0.517321111,0.644125556,0.75714,0.862535556
P15,PrCoO3,0,0,0,1,0,0,0,1,0,0,0.544,0.2759781,0.871281,0.1325,1,0.1986,0.3292,0.464,0.1634,0.159,0.261211111,0.372282222,0.459316667,0.534301111,0.665092222,0.781656667,0.890716667
P16,PrNiO3,0,0,0,1,0,0,0,0,1,0,0.58,0.09402267,0.23174489,0.001,1,0.095,0.5666,0.4889,0.0716,0.1919,0.23538,0.315213333,0.415934444,0.523524444,0.620835556,0.763933333,0.844262222
P17,CaMnO3,0,0,0,0,1,1,0,0,0,0,0.454,0.9724464,0.28131384,0.1306,1,0.0419,0.4446,0.4202,0.1751,0.1066,0.265591111,0.378272222,0.446038889,0.543336667,0.676964444,0.796185556,0.908292222
P18,CaFeO3,0,0,0,0,1,0,1,0,0,0,0.429,0.77255964,0.87924594,0.1298,1,0.0329,0.3362,0.1426,0.0865,0.044,0.268882222,0.370423333,0.457877778,0.519428889,0.644381111,0.780671111,0.91142
P19,CaCoO3,0,0,0,0,1,0,0,1,0,0,0.462,0.10196482,0.74094266,0.3704,1,0.8621,0.3741,0.1585,0.1253,0.0533,0.27616,0.371706667,0.441875556,0.541662222,0.660617778,0.744465556,0.886538889
P20,CaNiO3,0,0,0,0,1,0,0,0,1,0,0.504,0.1322302,0.33965123,0.1888,1,0.8065,0.2801,0.3634,0.0666,0.1284,0.358356667,0.414808889,0.481043333,0.599615556,0.698471111,0.750436667,0.838494444
P21,Ba0.5Sr0.5Co0.8Fe0.2O3,0,0.5,0.5,0,0,0,0.2,0.8,0,0,0.433,0.18780583,0.675884,0.3497,1,0.4128,0.2696,0.2187,0.1361,0.0694,0.269333333,0.349028889,0.411878889,0.495221111,0.62472,0.731953333,0.866905556
P22,Pr0.5Ba0.5Co0.75Fe0.25O3,0,0.5,0,0.5,0,0,0.25,0.75,0,0,0.426,0.2329658,0.743873,0.1589,1,0.1347,0.2875,0.3424,0.1032,0.0877,0.257938889,0.366101111,0.4547,0.526162222,0.655005556,0.769838889,0.876981111
P23,LaMn0.5Ni0.5O3,1,0,0,0,0,0.5,0,0,0.5,0,0.59,0.6626718,0.116999954,0.2661,1,0.2407,0.3489,0.3635,0.0472,0.0722,0.255768889,0.363904444,0.447648889,0.522448889,0.647687778,0.757906667,0.864306667
P24,La0.5Pr0.5FeO3,0.5,0,0,0.5,0,0,1,0,0,0,0.527,0.8619171,0.8308569,0.1496,1,0.1452,0.2867,0.3667,0.1115,0.1062,0.253261111,0.360106667,0.44431,0.516011111,0.641761111,0.753788889,0.857763333
P25,La0.4Ca0.6CoO3,0.4,0,0,0,0.6,0,0,1,0,0,0.485,0.078950964,0.6960947,0.062,1,0.1507,0.4087,0.4282,0.1752,0.1629,0.260457778,0.36972,0.456533333,0.531038889,0.660434444,0.775901111,0.884162222
P26,La0.6Ca0.4CoO3,0.6,0,0,0,0.4,0,0,1,0,0,0.474,0.06318304,0.68046486,0.062,1,0.1661,0.3772,0.391,0.1536,0.1329,0.259152222,0.369501111,0.45627,0.530596667,0.660168889,0.775644444,0.883906667
P27,LaMn0.8Cu0.2O3,1,0,0,0,0,0.8,0,0,0,0.2,0.583,0.7438334,0.10725378,0.1359,1,0.1878,0.3264,0.4402,0.1623,0.1495,0.254528889,0.362058889,0.446608889,0.519053333,0.645202222,0.757672222,0.862134444
P28,LaCo0.8Cu0.2O3,1,0,0,0,0,0,0,0.8,0,0.2,0.597,0,0.6153159,0.3451,1,0.2928,0.7475,0.757,0.1709,0.0967,0.257914444,0.365235556,0.451143333,0.527127778,0.653878889,0.774246667,0.88094
P29,LaNi0.9Cu0.1O3,1,0,0,0,0,0,0,0,0.9,0.1,0.595,0.34228784,0.0856379,0.2477,1,0.2279,0.6134,0.3979,0.0923,0.0799,0.258233333,0.366897778,0.45137,0.526766667,0.653627778,0.764638889,0.880407778
P30,Pr0.5Ba0.5CoO3,0,0.5,0,0.5,0,0,0,1,0,0,0.433,0.22422826,0.74949545,0.0812,1,0.1853,0.2211,0.3151,0.1242,0.0707,0.26149,0.370131111,0.454497778,0.532475556,0.65596,0.769601111,0.879445556
P31,Pr0.8Ba0.2CoO3,0,0.2,0,0.8,0,0,0,1,0,0,0.455,0.27224115,0.8647954,0.1015,1,0.1841,0.3381,0.3467,0.1243,0.103,0.262141111,0.373497778,0.460586667,0.535288889,0.66569,0.78223,0.891062222
P32,Pr0.625Ca0.375MnO3,0,0,0,0.625,0.375,1,0,0,0,0,0.469,0.9730464,0.35070467,0.0407,1,0.2625,0.6412,0.6749,0.324,0.2178,0.261386667,0.370915556,0.456726667,0.530512222,0.659351111,0.773736667,0.880341111
P33,CaFe0.5Co0.5O3,0,0,0,0,1,0,0.5,0.5,0,0,0.436,0.4512082,0.6566447,0.0473,1,0.0664,0.332,0.1597,0.1145,0.033,0.270366667,0.374712222,0.465794444,0.527644444,0.668008889,0.785202222,0.88005
P34,La0.5Ca0.5FeO3,0.5,0,0,0,0.5,0,1,0,0,0,0.495,0.8201165,0.846185,0.137,1,0.1252,0.3187,0.3599,0.1286,0.1121,0.257745556,0.365683333,0.450254444,0.523162222,0.650098889,0.762752222,0.867721111
P35,La0.75Sr0.25Co0.5Fe0.5O3,0.75,0,0.25,0,0,0,0.5,0.5,0,0,0.515,0.55245453,0.008766408,0.104,1,0.1666,0.3476,0.3302,0.1111,0.1121,0.2568,0.365207778,0.450684444,0.523932222,0.651898889,0.765956667,0.871674444
P36,La0.7Sr0.3Co0.25Mn0.75O3,0.7,0,0.3,0,0,0.75,0,0.25,0,0,0.522,0.7719766,0.12785366,0.0865,1,0.138,0.3017,0.2901,0.095,0.1037,0.256056667,0.364345556,0.449738889,0.522777778,0.650377778,0.763346667,0.868904444
P37,BaMn0.7Cu0.3O3,0,1,0,0,0,0.7,0,0,0,0.3,0.54,0.8452041,0.31063974,0.2906,1,0.4925,0.2056,0.0506,0.1184,0.0386,0.267606667,0.34421,0.467551111,0.585995556,0.67565,0.796794444,0.895962222
P38,La0.4Ca0.6Fe0.5Co0.5O3,0.4,0,0,0,0.6,0,0.5,0.5,0,0,0.493,0.4748753,0.64823556,0.1259,1,0.1818,0.402,0.3787,0.1416,0.1368,0.269092222,0.370467778,0.455843333,0.529197778,0.658124444,0.773355556,0.879582222
P39,LaNi0.8Cu0.2O3,1,0,0,0,0,0,0,0,0.8,0.2,0.618,0.3436537,0.08500229,0.2534,1,0.3711,0.9984,0.7316,0.2041,0.1627,0.258922222,0.368511111,0.452892222,0.52813,0.654693333,0.775853333,0.88098
P40,LaNi0.9Fe0.1O3,1,0,0,0,0,0,0.1,0,0.9,0,0.59,0.3421736,0.08580758,0.2133,1,0.2452,0.7768,0.5693,0.1536,0.1312,0.260191111,0.369137778,0.453945556,0.528666667,0.654974444,0.775682222,0.880713333
