id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1
P01,1,0,0,0,0,1,0,0,0,0,0,0.88890463,0.31838995
P02,0,1,0,0,0,1,0,0,0,0,0,0.8717838,0.5874529
P03,0,1,0,0,0,0,1,0,0,0,0,0.5275303,0.8953248
P04,0,1,0,0,0,0,0,1,0,0,0,0.00182687,0.53386647
P05,0,0,1,0,0,1,0,0,0,0,0,0.85394377,0.4817128
P06,0,0,1,0,0,0,1,0,0,0,0,0.43131676,0.9057132
P07,0,0,1,0,0,0,0,1,0,0,0,0.000603277,0.4377872
P08,0,0,0,1,0,0,1,0,0,0,0,0.2622311,0.89900273
P09,0,0,0,1,0,0,0,1,0,0,0,0.08283113,0.6574736
P10,0,0,0,0,1,1,0,0,0,0,0,0.9651973,0.48323417
P11,0,0,0,0,1,0,1,0,0,0,0,0.49491987,0.99919164
P12,0,0.5,0.5,0,0,0,0.2,0.8,0,0,0,0.004776082,0.4859302
P13,0,0.5,0,0.5,0,0,0.25,0.75,0,0,0,0.035918284,0.565653
P14,1,0,0,0,0,0.5,0,0,0.5,0,0,0.74699855,0.21646175
P15,0.5,0,0,0.5,0,0,1,0,0,0,0,0.6272117,0.9244989
P16,0.4,0,0,0,0.6,0,0,1,0,0,0,0.09661272,0.4400111
P17,1,0,0,0,0,0.8,0,0,0,0.2,0,0.8839146,0.31513065
P18,1,0,0,0,0,0,0,0.8,0,0.2,0,0.07685076,0.34396866
P19,1,0,0,0,0,0,0,0,0.9,0.1,0,0.674959,0.07779232
P20,0,0.5,0,0.5,0,0,0,1,0,0,0,0.039374743,0.56296605
P21,0,0.2,0,0.8,0,0,0,1,0,0,0,0.08288885,0.65261495
P22,0,0,0,0.625,0.375,1,0,0,0,0,0,0.98015577,0.5536063
P23,0,0,0,0,1,0,0.5,0.5,0,0,0,0.35498363,0.67939025
P24,0.5,0,0,0,0.5,0,1,0,0,0,0,0.5802605,0.953716
P25,0.75,0,0.25,0,0,0,0.5,0.5,0,0,0,0.44611457,0.59450716
P26,0.7,0,0.3,0,0,0.75,0,0.25,0,0,0,0.87044376,0.34404224
P27,0,1,0,0,0,0.7,0,0,0,0.3,0,0.8641774,0.59134805
P28,0.4,0,0,0,0.6,0,0.5,0.5,0,0,0,0.4120919,0.648968
P29,1,0,0,0,0,0,0,0,0.8,0.2,0,0.6759821,0.07848312
P30,1,0,0,0,0,0,0.1,0,0.9,0,0,0.67484695,0.0776718
S00001,0,1,0,0,0,0,0,1,0,0,0,0.00182687,0.53386647
S00002,0,1,0,0,0,0,1,0,0,0,0,0.52753043,0.8953257
S00003,0,1,0,0,0,0,0,0,1,0,0,0.43190864,0.001193441
S00004,0,1,0,0,0,1,0,0,0,0,0,0.87178504,0.58745277
S00005,0,0,1,0,0,0,0,1,0,0,0,0.000603277,0.4377872
S00006,0,0,1,0,0,0,1,0,0,0,0,0.43131682,0.9057133
S00007,0,0,1,0,0,0,0,0,1,0,0,0.4676306,0.09888382
S00008,0,0,1,0,0,1,0,0,0,0,0,0.8539438,0.48171267
S00009,0,0,0,0,1,0,0,1,0,0,0,0.10328535,0.48862368
S00010,0,0,0,0,1,0,1,0,0,0,0,0.49492073,0.99919164
S00011,0,0,0,0,1,0,0,0,1,0,0,0.52998495,0.00424676
S00012,0,0,0,0,1,1,0,0,0,0,0,0.9651973,0.48323417
S00013,0,0,0,1,0,0,0,1,0,0,0,0.082832366,0.6574734
S00014,0,0,0,1,0,0,1,0,0,0,0,0.2622152,0.8990078
S00015,0,0,0,1,0,0,0,0,1,0,0,0.32290018,0.079498805
S00016,0,0,0,1,0,1,0,0,0,0,0,0.9981767,0.5889411
S00017,1,0,0,0,0,0,0,1,0,0,0,0.07691239,0.3467391
S00018,1,0,0,0,0,0,1,0,0,0,0,0.6630478,0.88850266
S00019,1,0,0,0,0,0,0,0,1,0,0,0.6738173,0.077133805
S00020,1,0,0,0,0,1,0,0,0,0,0,0.88890463,0.31838995
S00021,0,1,0,0,0,0,0.2,0.8,0,0,0,0.001241868,0.53450656
S00022,0,1,0,0,0,0,0.8,0.2,0,0,0,0.5284912,0.88778895
S00023,0,1,0,0,0,0,0,0.8,0.2,0,0,0.001111652,0.5342608
S00024,0,1,0,0,0,0,0.8,0,0.2,0,0,0.52682894,0.8857883
S00025,0,1,0,0,0,0,0,0.2,0.8,0,0,0.43077508,6.44E-05
S00026,0,1,0,0,0,0,0.2,0,0.8,0,0,0.43091685,0.000271108
S00027,0,1,0,0,0,0.2,0,0.8,0,0,0,0.001341391,0.53448105
S00028,0,1,0,0,0,0.2,0.8,0,0,0,0,0.529161,0.88787174
S00029,0,1,0,0,0,0.2,0,0,0.8,0,0,0.43106467,0
S00030,0,1,0,0,0,0.8,0,0.2,0,0,0,0.8624773,0.58605075
S00031,0,1,0,0,0,0.8,0.2,0,0,0,0,0.86699605,0.58901143
S00032,0,1,0,0,0,0.8,0,0,0.2,0,0,0.8661687,0.5880657
S00033,0,1,0,0,0,0,0.4,0.6,0,0,0,0.2981933,0.6466355
S00034,0,1,0,0,0,0,0.6,0.4,0,0,0,0.42073607,0.71298146
S00035,0,1,0,0,0,0,0,0.6,0.4,0,0,0.21247777,0.2465833
S00036,0,1,0,0,0,0,0.6,0,0.4,0,0,0.5218467,0.8653066
S00037,0,1,0,0,0,0,0,0.4,0.6,0,0,0.23137313,0.22510108
S00038,0,1,0,0,0,0,0.4,0,0.6,0,0,0.45687008,0.13333769
S00039,0,1,0,0,0,0.4,0,0.6,0,0,0,0.19743887,0.5081896
S00040,0,1,0,0,0,0.4,0.6,0,0,0,0,0.7240168,0.7128289
S00041,0,1,0,0,0,0.4,0,0,0.6,0,0,0.595806,0.26035997
S00042,0,1,0,0,0,0.6,0,0.4,0,0,0,0.84559697,0.5758666
S00043,0,1,0,0,0,0.6,0.4,0,0,0,0,0.73179185,0.69639564
S00044,0,1,0,0,0,0.6,0,0,0.4,0,0,0.60314107,0.26221666
S00045,0,0,1,0,0,0,0.2,0.8,0,0,0,0,0.43716973
S00046,0,0,1,0,0,0,0.8,0.2,0,0,0,0.4310543,0.8997637
S00047,0,0,1,0,0,0,0,0.8,0.2,0,0,0.000372021,0.43672043
S00048,0,0,1,0,0,0,0.8,0,0.2,0,0,0.43126285,0.89862585
S00049,0,0,1,0,0,0,0,0.2,0.8,0,0,0.46756396,0.10162482
S00050,0,0,1,0,0,0,0.2,0,0.8,0,0,0.46756163,0.1018104
S00051,0,0,1,0,0,0.2,0,0.8,0,0,0,5.00E-05,0.43712905
S00052,0,0,1,0,0,0.2,0.8,0,0,0,0,0.43142793,0.8999229
S00053,0,0,1,0,0,0.2,0,0,0.8,0,0,0.4679427,0.10165405
S00054,0,0,1,0,0,0.8,0,0.2,0,0,0,0.84751874,0.48230416
S00055,0,0,1,0,0,0.8,0.2,0,0,0,0,0.8487922,0.48365143
S00056,0,0,1,0,0,0.8,0,0,0.2,0,0,0.84878355,0.48259515
S00057,0,0,1,0,0,0,0.4,0.6,0,0,0,0.33726206,0.60689193
S00058,0,0,1,0,0,0,0.6,0.4,0,0,0,0.36791727,0.7331816
S00059,0,0,1,0,0,0,0,0.6,0.4,0,0,0.17688493,0.34899184
S00060,0,0,1,0,0,0,0.6,0,0.4,0,0,0.43329886,0.8754525
S00061,0,0,1,0,0,0,0,0.4,0.6,0,0,0.31245247,0.25353026
S00062,0,0,1,0,0,0,0.4,0,0.6,0,0,0.41522437,0.22171742
S00063,0,0,1,0,0,0.4,0,0.6,0,0,0,0.26291043,0.5046442
S00064,0,0,1,0,0,0.4,0.6,0,0,0,0,0.6542399,0.7587142
S00065,0,0,1,0,0,0.4,0,0,0.6,0,0,0.5374726,0.31570125
S00066,0,0,1,0,0,0.6,0,0.4,0,0,0,0.821971,0.48696655
S00067,0,0,1,0,0,0.6,0.4,0,0,0,0,0.7673512,0.63691926
S00068,0,0,1,0,0,0.6,0,0,0.4,0,0,0.5412213,0.32327765
S00069,0,0,0,0,1,0,0.2,0.8,0,0,0,0.109419376,0.488289
S00070,0,0,0,0,1,0,0.8,0.2,0,0,0,0.49526995,1
S00071,0,0,0,0,1,0,0,0.8,0.2,0,0,0.11080673,0.48450682
S00072,0,0,0,0,1,0,0.8,0,0.2,0,0,0.49538994,0.99987507
S00073,0,0,0,0,1,0,0,0.2,0.8,0,0,0.5310537,0.002871446
S00074,0,0,0,0,1,0,0.2,0,0.8,0,0,0.53121567,0.003014181
S00075,0,0,0,0,1,0.2,0,0.8,0,0,0,0.11244447,0.49387428
S00076,0,0,0,0,1,0.2,0.8,0,0,0,0,0.49549517,0.9999712
S00077,0,0,0,0,1,0.2,0,0,0.8,0,0,0.53123075,0.002974022
S00078,0,0,0,0,1,0.8,0,0.2,0,0,0,0.96573174,0.48248503
S00079,0,0,0,0,1,0.8,0.2,0,0,0,0,0.96589565,0.48269567
S00080,0,0,0,0,1,0.8,0,0,0.2,0,0,0.96583384,0.4824037
S00081,0,0,0,0,1,0,0.4,0.6,0,0,0,0.35215753,0.6776787
S00082,0,0,0,0,1,0,0.6,0.4,0,0,0,0.35681155,0.6819781
S00083,0,0,0,0,1,0,0,0.6,0.4,0,0,0.17023447,0.306092
S00084,0,0,0,0,1,0,0.6,0,0.4,0,0,0.49234587,0.7802015
S00085,0,0,0,0,1,0,0,0.4,0.6,0,0,0.36932778,0.24957232
S00086,0,0,0,0,1,0,0.4,0,0.6,0,0,0.51781005,0.23615305
S00087,0,0,0,0,1,0.4,0,0.6,0,0,0,0.12230237,0.50909436
S00088,0,0,0,0,1,0.4,0.6,0,0,0,0,0.767932,0.73809403
S00089,0,0,0,0,1,0.4,0,0,0.6,0,0,0.531103,0.26029915
S00090,0,0,0,0,1,0.6,0,0.4,0,0,0,0.759686,0.5307495
S00091,0,0,0,0,1,0.6,0.4,0,0,0,0,0.78428614,0.6926237
S00092,0,0,0,0,1,0.6,0,0,0.4,0,0,0.63959485,0.35688144
S00093,0,0,0,1,0,0,0.2,0.8,0,0,0,0.08950867,0.66702324
S00094,0,0,0,1,0,0,0.8,0.2,0,0,0,0.25975314,0.89673305
S00095,0,0,0,1,0,0,0,0.8,0,0.2,0,0.09089232,0.6671414
S00096,0,0,0,1,0,0,0.8,0,0,0.2,0,0.2597771,0.89663655
S00097,0,0,0,1,0,0,0,0.8,0.2,0,0,0.08656806,0.6695187
S00098,0,0,0,1,0,0,0.8,0,0.2,0,0,0.2592279,0.89666945
S00099,0,0,0,1,0,0,0,0.2,0.8,0,0,0.31495598,0.08270109
S00100,0,0,0,1,0,0,0.2,0,0.8,0,0,0.3171348,0.08748251
S00101,0,0,0,1,0,0,0,0,0.8,0.2,0,0.315626,0.09297025
S00102,0,0,0,1,0,0.2,0,0.8,0,0,0,0.09620105,0.66863275
S00103,0,0,0,1,0,0.2,0.8,0,0,0,0,0.25931546,0.89207256
S00104,0,0,0,1,0,0.2,0,0,0.8,0,0,0.3078263,0.08556035
S00105,0,0,0,1,0,0.8,0,0.2,0,0,0,0.9999954,0.5894487
S00106,0,0,0,1,0,0.8,0.2,0,0,0,0,0.99999666,0.58946043
S00107,0,0,0,1,0,0.8,0,0,0,0.2,0,0.99999344,0.58946127
S00108,0,0,0,1,0,0.8,0,0,0.2,0,0,1,0.5894536
S00109,0,0,0,1,0,0,0.4,0.6,0,0,0,0.21279337,0.7509893
S00110,0,0,0,1,0,0,0.6,0.4,0,0,0,0.22023672,0.7651986
S00111,0,0,0,1,0,0,0,0.6,0,0.4,0,0.12848009,0.7053837
S00112,0,0,0,1,0,0,0.6,0,0,0.4,0,0.22545287,0.8251624
S00113,0,0,0,1,0,0,0,0.6,0.4,0,0,0.08958815,0.70753735
S00114,0,0,0,1,0,0,0.6,0,0.4,0,0,0.21271801,0.8622666
S00115,0,0,0,1,0,0,0,0.4,0.6,0,0,0.28273347,0.12170061
S00116,0,0,0,1,0,0,0.4,0,0.6,0,0,0.30672684,0.12888014
S00117,0,0,0,1,0,0,0,0,0.6,0.4,0,0.31498054,0.10677434
S00118,0,0,0,1,0,0.4,0,0.6,0,0,0,0.11820647,0.6758752
S00119,0,0,0,1,0,0.4,0.6,0,0,0,0,0.24623974,0.86508685
S00120,0,0,0,1,0,0.4,0,0,0.6,0,0,0.28694868,0.088641375
S00121,0,0,0,1,0,0.6,0,0.4,0,0,0,0.15918,0.76317644
S00122,0,0,0,1,0,0.6,0.4,0,0,0,0,0.15669256,0.83300465
S00123,0,0,0,1,0,0.6,0,0,0,0.4,0,0.13813707,0.796979
S00124,0,0,0,1,0,0.6,0,0,0.4,0,0,0.1064593,0.8250637
S00125,1,0,0,0,0,0,0.2,0.8,0,0,0,0.07696079,0.34468073
S00126,1,0,0,0,0,0,0.8,0.2,0,0,0,0.6751876,0.8798455
S00127,1,0,0,0,0,0,0,0.8,0,0.2,0,0.07685104,0.34396857
S00128,1,0,0,0,0,0,0.8,0,0,0.2,0,0.6696436,0.8785765
S00129,1,0,0,0,0,0,0,0.8,0.2,0,0,0.07699395,0.3446709
S00130,1,0,0,0,0,0,0.8,0,0.2,0,0,0.66652113,0.87308615
S00131,1,0,0,0,0,0,0,0.2,0.8,0,0,0.67595685,0.07950813
S00132,1,0,0,0,0,0,0.2,0,0.8,0,0,0.6758921,0.078196086
