,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
0,P01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.88890463,0.31838995
1,P02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8717838,0.5874529
2,P03,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5275303,0.8953248
3,P04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0018268701,0.53386647
4,P05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.85394377,0.4817128
5,P06,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43131676,0.9057132
6,P07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00060327677,0.4377872
7,P08,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2622311,0.89900273
8,P09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08283113,0.6574736
9,P10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9651973,0.48323417
10,P11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.49491987,0.99919164
11,P12,0.0,0.5,0.5,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.004776082,0.4859302
12,P13,0.0,0.5,0.0,0.5,0.0,0.0,0.25,0.75,0.0,0.0,0.035918284,0.565653
13,P14,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.74699855,0.21646175
14,P15,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6272117,0.9244989
15,P16,0.4,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.09661272,0.4400111
16,P17,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.8839146,0.31513065
17,P18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.07685076,0.34396866
18,P19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.674959,0.07779232
19,P20,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.039374743,0.56296605
20,P21,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.08288885,0.65261495
21,P22,0.0,0.0,0.0,0.625,0.375,1.0,0.0,0.0,0.0,0.0,0.98015577,0.5536063
22,P23,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.35498363,0.67939025
23,P24,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5802605,0.953716
24,P25,0.75,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.44611457,0.59450716
25,P26,0.7,0.0,0.3,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.87044376,0.34404224
26,P27,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.8641774,0.59134805
27,P28,0.4,0.0,0.0,0.0,0.6,0.0,0.5,0.5,0.0,0.0,0.4120919,0.648968
28,P29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.6759821,0.07848312
29,P30,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.67484695,0.0776718
30,S00001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0018268701,0.53386647
31,S00002,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.52753043,0.8953257
32,S00003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43190864,0.0011934408
33,S00004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.87178504,0.58745277
34,S00005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00060327677,0.4377872
35,S00006,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43131682,0.9057133
36,S00007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4676306,0.09888382
37,S00008,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8539438,0.48171267
38,S00009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10328535,0.48862368
39,S00010,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.49492073,0.99919164
40,S00011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.52998495,0.0042467597
41,S00012,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9651973,0.48323417
42,S00013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.082832366,0.6574734
43,S00014,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2622152,0.8990078
44,S00015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.32290018,0.079498805
45,S00016,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9981767,0.5889411
46,S00017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07691239,0.3467391
47,S00018,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6630478,0.88850266
48,S00019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6738173,0.077133805
49,S00020,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.88890463,0.31838995
50,S00021,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0012418681,0.53450656
51,S00022,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.5284912,0.88778895
52,S00023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.001111652,0.5342608
53,S00024,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.52682894,0.8857883
54,S00025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.43077508,6.439074e-05
55,S00026,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.43091685,0.00027110815
56,S00027,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0013413911,0.53448105
57,S00028,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.529161,0.88787174
58,S00029,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.43106467,0.0
59,S00030,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.8624773,0.58605075
60,S00031,0.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.86699605,0.58901143
61,S00032,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.8661687,0.5880657
62,S00033,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.2981933,0.6466355
63,S00034,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.42073607,0.71298146
64,S00035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.21247777,0.2465833
65,S00036,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.5218467,0.8653066
