,id,pred_avg,pred_stdev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,P01,0.549269,0.02283021,0.58180934,0.5700531,0.555737,0.5635924,0.5637562,0.5362045,0.5445857,0.58294666,0.4931935,0.5664261,0.55777746,0.51990414,0.5501912,0.5603135,0.54770786,0.50998306,0.5544691,0.5213954,0.54082197,0.5645118
1,P02,0.446414578,0.035677773,0.47406217,0.48754284,0.45309335,0.46117014,0.48021877,0.4267791,0.43831867,0.4710364,0.38589415,0.47970077,0.44539085,0.40976664,0.46029153,0.43800908,0.49018243,0.35137144,0.4595574,0.4322607,0.4044216,0.47922352
2,P03,0.4382438,0.038519123,0.44905445,0.46733212,0.4792058,0.46609163,0.4764059,0.41987324,0.45385867,0.44795972,0.3335533,0.45219946,0.43295515,0.39045006,0.48170027,0.46305165,0.46392596,0.36301696,0.4308517,0.4047943,0.42712823,0.46146742
3,P04,0.403076159,0.034575312,0.40498886,0.44441992,0.42329946,0.41983858,0.42491102,0.401235,0.41642836,0.40320694,0.334271,0.4194402,0.4185036,0.3808068,0.42832407,0.404835,0.42092094,0.29787847,0.4020236,0.36452666,0.40904832,0.44261637
4,P05,0.479064701,0.03998517,0.47131434,0.48647797,0.52366614,0.5375126,0.51537496,0.4629583,0.5112377,0.46776024,0.3946212,0.47758698,0.484057,0.45681843,0.5481301,0.5266402,0.48626608,0.40206593,0.4599883,0.4307949,0.4602877,0.47773495
5,P06,0.423995115,0.035891186,0.43419388,0.46149597,0.4588185,0.4508552,0.45359102,0.40015617,0.43622386,0.4397508,0.3249417,0.44363996,0.4020404,0.40482393,0.4578479,0.42487738,0.4532664,0.35059842,0.42369157,0.3973883,0.40597713,0.4557238
6,P07,0.404281296,0.037499296,0.39333573,0.44317704,0.42158708,0.43344015,0.41371462,0.40097344,0.45739403,0.40125382,0.34416798,0.4183419,0.39608487,0.3945547,0.4146109,0.44537443,0.416089,0.2884913,0.40309733,0.36418745,0.3942342,0.44151595
7,P08,0.507426344,0.03294863,0.532693,0.54938203,0.5472249,0.5163123,0.53550416,0.47624207,0.49956968,0.53246415,0.4026563,0.51832956,0.49119967,0.47090137,0.5337,0.5258776,0.50717586,0.50936604,0.49753,0.47408542,0.5048426,0.52347016
8,P09,0.511637494,0.030409377,0.53668433,0.5458662,0.54668045,0.52077734,0.5248432,0.48932964,0.5244609,0.5242035,0.4144293,0.52518797,0.50068825,0.4936655,0.5346871,0.5373424,0.5104217,0.49338046,0.50627047,0.4610125,0.52287763,0.51994103
9,P10,0.459070894,0.033630799,0.47660017,0.49094728,0.46026996,0.4872063,0.4908713,0.44508412,0.47430634,0.47613078,0.40163213,0.48419866,0.44545442,0.43826482,0.48832875,0.43167913,0.49306902,0.35679147,0.46720183,0.43870762,0.45347127,0.4812025
10,P11,0.415752322,0.040127583,0.42848736,0.46251076,0.4434523,0.43193978,0.4568279,0.38300678,0.42614684,0.44516018,0.31927043,0.44585532,0.37446386,0.3761265,0.45042175,0.40976018,0.45596364,0.34111232,0.42577872,0.40187913,0.3805536,0.45632908
11,P12,0.404068395,0.035481443,0.401127,0.44418624,0.4249803,0.4156934,0.41746715,0.40050465,0.42976844,0.40251312,0.33946344,0.41926488,0.4267607,0.40722615,0.42419502,0.4072858,0.41938612,0.28771436,0.40285596,0.36471394,0.40392092,0.4423403
