id,name,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1,intensity_0,intensity_1,intensity_2,intensity_3,intensity_4,intensity_5,intensity_6,position_0,position_1,position_2,position_3,position_4,position_5,position_6
P01,LaMnO3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.592,0.88890463,0.31838995,0.1289,1,0.1482,0.3456,0.2483,0.0718,0.0911,0.255166667,0.362946667,0.448005556,0.520352222,0.647114444,0.759336667,0.865324444
P02,BaMnO3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.496,0.8717838,0.5874529,0.112,1,0.2749,0.0767,0.132,0.0948,0.0334,0.268138889,0.349501111,0.469362222,0.554766667,0.621282222,0.727997778,0.903064444
P03,BaFeO3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.495,0.5275303,0.8953248,0.2647,1,0.4352,0.4681,0.618,0.1288,0.0493,0.286174444,0.348551111,0.470931111,0.521412222,0.628312222,0.760276667,0.882114444
P04,BaCoO3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.463,0.0018268701,0.53386647,0.1338,1,0.4524,0.2028,0.1974,0.0349,0.0633,0.26755,0.349223333,0.464804444,0.59051,0.72799,0.799695556,0.918216667
P05,SrMnO3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.537,0.85394377,0.4817128,0.7355,1,0.6859,0.4988,0.1602,0.0869,0.0498,0.303153333,0.365501111,0.480641111,0.544185556,0.669381111,0.766895556,0.887325556
P06,SrFeO3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.485,0.43131676,0.9057132,0.025,1,0.2004,0.5832,0.3471,0.2673,0.1883,0.257804444,0.363117778,0.45193,0.524212222,0.650297778,0.765677778,0.871584444
P07,SrCoO3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.477,0.00060327677,0.4377872,0.9179,1,0.4464,0.0724,0.2551,0.1014,0.07,0.318203333,0.363192222,0.489095556,0.534164444,0.62057,0.761337778,0.842884444
P08,PrFeO3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.539,0.2622311,0.89900273,0.158,1,0.0633,0.2911,0.2649,0.1181,0.1157,0.253792222,0.361031111,0.445816667,0.517321111,0.644125556,0.75714,0.862535556
P09,PrCoO3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.544,0.08283113,0.6574736,0.1325,1,0.1986,0.3292,0.464,0.1634,0.159,0.261211111,0.372282222,0.459316667,0.534301111,0.665092222,0.781656667,0.890716667
P10,CaMnO3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.454,0.9651973,0.48323417,0.1306,1,0.0419,0.4446,0.4202,0.1751,0.1066,0.265591111,0.378272222,0.446038889,0.543336667,0.676964444,0.796185556,0.908292222
P11,CaFeO3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.429,0.49491987,0.99919164,0.1298,1,0.0329,0.3362,0.1426,0.0865,0.044,0.268882222,0.370423333,0.457877778,0.519428889,0.644381111,0.780671111,0.91142
P12,Ba0.5Sr0.5Co0.8Fe0.2O3,0.0,0.5,0.5,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.433,0.004776082,0.4859302,0.3497,1,0.4128,0.2696,0.2187,0.1361,0.0694,0.269333333,0.349028889,0.411878889,0.495221111,0.62472,0.731953333,0.866905556
P13,Pr0.5Ba0.5Co0.75Fe0.25O3,0.0,0.5,0.0,0.5,0.0,0.0,0.25,0.75,0.0,0.0,0.426,0.035918284,0.565653,0.1589,1,0.1347,0.2875,0.3424,0.1032,0.0877,0.257938889,0.366101111,0.4547,0.526162222,0.655005556,0.769838889,0.876981111
P14,LaMn0.5Ni0.5O3,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.59,0.74699855,0.21646175,0.2661,1,0.2407,0.3489,0.3635,0.0472,0.0722,0.255768889,0.363904444,0.447648889,0.522448889,0.647687778,0.757906667,0.864306667
P15,La0.5Pr0.5FeO3,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.527,0.6272117,0.9244989,0.1496,1,0.1452,0.2867,0.3667,0.1115,0.1062,0.253261111,0.360106667,0.44431,0.516011111,0.641761111,0.753788889,0.857763333
P16,La0.4Ca0.6CoO3,0.4,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.485,0.09661272,0.4400111,0.062,1,0.1507,0.4087,0.4282,0.1752,0.1629,0.260457778,0.36972,0.456533333,0.531038889,0.660434444,0.775901111,0.884162222
