id,name,phase,class,perovskite_La,perovskite_Ba,perovskite_Sr,perovskite_Pr,perovskite_Ca,perovskite_B,perovskite_V,perovskite_Cr,perovskite_Mn,perovskite_Fe,perovskite_Co,perovskite_Ni,perovskite_Cu,spinel_Li_A,spinel_Al_A,spinel_V_A,spinel_Mn_A,spinel_Fe_A,spinel_Co_A,spinel_Ni_A,spinel_Zn_A,spinel_Li_B,spinel_Al_B,spinel_V_B,spinel_Mn_B,spinel_Fe_B,spinel_Co_B,spinel_Ni_B,spinel_Zn_B,rutile_Cr,rutile_Ru,rutile_Sn,rutile_Ce
P01,LaCoO3,perovskite,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02,La0.875Sr0.125CoO3,perovskite,0,0.875,0,0.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03,La0.75Sr0.25CoO3,perovskite,0,0.75,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04,La0.625Sr0.375CoO3,perovskite,0,0.625,0,0.375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05,LaVO3,perovskite,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06,LaCrO3,perovskite,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07,LaMnO3,perovskite,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08,La0.5Sr0.5CoO3,perovskite,1,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09,La0.375Sr0.625CoO3,perovskite,1,0.375,0,0.625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10,La0.25Sr0.75CoO3,perovskite,1,0.25,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11,La0.125Sr0.875CoO3,perovskite,1,0.125,0,0.875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12,La0.05Sr0.95CoO3,perovskite,1,0.05,0,0.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P13,SrCoO3,perovskite,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P14,Pr0.5Ba0.5CoO3,perovskite,1,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15,Ba0.5Sr0.5CoO3,perovskite,1,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P16,Ba0.5Sr0.5Co0.8Fe0.2O3,perovskite,1,0,0.5,0.5,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
