id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1
P01,1,0,0,0,0,1,0,0,0,0,0,0.7481132,0.10897934
P02,1,0,0,0,0,0,1,0,0,0,0,0.89688843,0.80125964
P03,1,0,0,0,0,0,0,1,0,0,0,0.002449281,0.61573553
P04,1,0,0,0,0,0,0,0,1,0,0,0.34104535,0.08624759
P05,0,1,0,0,0,1,0,0,0,0,0,0.8502424,0.3049748
P06,0,1,0,0,0,0,1,0,0,0,0,0.8580094,0.70944846
P07,0,1,0,0,0,0,0,1,0,0,0,0.21973282,0.70678854
P08,0,1,0,0,0,0,0,0,1,0,0,0.19784409,0.16112952
P09,0,0,1,0,0,1,0,0,0,0,0,0.90063304,0.20811667
P10,0,0,1,0,0,0,1,0,0,0,0,0.74653864,0.7602849
P11,0,0,1,0,0,0,0,1,0,0,0,0.15577246,0.6399943
P12,0,0,1,0,0,0,0,0,1,0,0,0.24484739,0.25877842
P13,0,0,0,1,0,1,0,0,0,0,0,0.99845177,0.38418528
P14,0,0,0,1,0,0,1,0,0,0,0,0.6364783,0.906123
P15,0,0,0,1,0,0,0,1,0,0,0,0.2759781,0.871281
P16,0,0,0,1,0,0,0,0,1,0,0,0.09402267,0.23174489
P17,0,0,0,0,1,1,0,0,0,0,0,0.9724464,0.28131384
P18,0,0,0,0,1,0,1,0,0,0,0,0.77255964,0.87924594
P19,0,0,0,0,1,0,0,1,0,0,0,0.10196482,0.74094266
P20,0,0,0,0,1,0,0,0,1,0,0,0.1322302,0.33965123
P21,0,0.5,0.5,0,0,0,0.2,0.8,0,0,0,0.18780583,0.675884
P22,0,0.5,0,0.5,0,0,0.25,0.75,0,0,0,0.2329658,0.743873
P23,1,0,0,0,0,0.5,0,0,0.5,0,0,0.6626718,0.116999954
P24,0.5,0,0,0.5,0,0,1,0,0,0,0,0.8619171,0.8308569
P25,0.4,0,0,0,0.6,0,0,1,0,0,0,0.078950964,0.6960947
P26,0.6,0,0,0,0.4,0,0,1,0,0,0,0.06318304,0.68046486
P27,1,0,0,0,0,0.8,0,0,0,0.2,0,0.7438334,0.10725378
P28,1,0,0,0,0,0,0,0.8,0,0.2,0,0,0.6153159
P29,1,0,0,0,0,0,0,0,0.9,0.1,0,0.34228784,0.0856379
P30,0,0.5,0,0.5,0,0,0,1,0,0,0,0.22422826,0.74949545
P31,0,0.2,0,0.8,0,0,0,1,0,0,0,0.27224115,0.8647954
P32,0,0,0,0.625,0.375,1,0,0,0,0,0,0.9730464,0.35070467
P33,0,0,0,0,1,0,0.5,0.5,0,0,0,0.4512082,0.6566447
P34,0.5,0,0,0,0.5,0,1,0,0,0,0,0.8201165,0.846185
P35,0.75,0,0.25,0,0,0,0.5,0.5,0,0,0,0.55245453,0.008766408
P36,0.7,0,0.3,0,0,0.75,0,0.25,0,0,0,0.7719766,0.12785366
P37,0,1,0,0,0,0.7,0,0,0,0.3,0,0.8452041,0.31063974
P38,0.4,0,0,0,0.6,0,0.5,0.5,0,0,0,0.4748753,0.64823556
P39,1,0,0,0,0,0,0,0,0.8,0.2,0,0.3436537,0.08500229
P40,1,0,0,0,0,0,0.1,0,0.9,0,0,0.3421736,0.08580758
S00001,0,1,0,0,0,0,0,1,0,0,0,0.21973282,0.70678854
S00002,0,1,0,0,0,0,1,0,0,0,0,0.8580099,0.70944846
S00003,0,1,0,0,0,0,0,0,1,0,0,0.1978476,0.16112858
S00004,0,1,0,0,0,1,0,0,0,0,0,0.8502398,0.3049753
S00005,0,0,1,0,0,0,0,1,0,0,0,0.15577246,0.6399943
S00006,0,0,1,0,0,0,1,0,0,0,0,0.7465385,0.76028496
S00007,0,0,1,0,0,0,0,0,1,0,0,0.24484739,0.25877842
S00008,0,0,1,0,0,1,0,0,0,0,0,0.900634,0.20811328
S00009,0,0,0,0,1,0,0,1,0,0,0,0.10196482,0.74094266
S00010,0,0,0,0,1,0,1,0,0,0,0,0.7725606,0.879264
S00011,0,0,0,0,1,0,0,0,1,0,0,0.1322302,0.33965123
S00012,0,0,0,0,1,1,0,0,0,0,0,0.9724463,0.28131384
S00013,0,0,0,1,0,0,0,1,0,0,0,0.2759781,0.871281
S00014,0,0,0,1,0,0,1,0,0,0,0,0.63647836,0.90612286
S00015,0,0,0,1,0,0,0,0,1,0,0,0.09402267,0.23174489
S00016,0,0,0,1,0,1,0,0,0,0,0,0.99845344,0.38418654
S00017,1,0,0,0,0,0,0,1,0,0,0,0.002449281,0.61573553
S00018,1,0,0,0,0,0,1,0,0,0,0,0.89688843,0.80125964
S00019,1,0,0,0,0,0,0,0,1,0,0,0.34104535,0.08624759
S00020,1,0,0,0,0,1,0,0,0,0,0,0.7481132,0.10897934
S00021,0,1,0,0,0,0,0.2,0.8,0,0,0,0.22786887,0.7034889
S00022,0,1,0,0,0,0,0.8,0.2,0,0,0,0.853416,0.7049974
S00023,0,1,0,0,0,0,0,0.8,0.2,0,0,0.22519831,0.70224434
S00024,0,1,0,0,0,0,0.8,0,0.2,0,0,0.8481401,0.70075953
S00025,0,1,0,0,0,0,0,0.2,0.8,0,0,0.1977853,0.16034965
S00026,0,1,0,0,0,0,0.2,0,0.8,0,0,0.19803937,0.160336
S00027,0,1,0,0,0,0.2,0,0.8,0,0,0,0.2254608,0.6966716
S00028,0,1,0,0,0,0.2,0.8,0,0,0,0,0.85756433,0.70059335
S00029,0,1,0,0,0,0.2,0,0,0.8,0,0,0.19793943,0.16024876
S00030,0,1,0,0,0,0.8,0,0.2,0,0,0,0.8461607,0.30961102
S00031,0,1,0,0,0,0.8,0.2,0,0,0,0,0.8469698,0.309071
S00032,0,1,0,0,0,0.8,0,0,0.2,0,0,0.846727,0.3088577
S00033,0,1,0,0,0,0,0.4,0.6,0,0,0,0.3458024,0.6539511
S00034,0,1,0,0,0,0,0.6,0.4,0,0,0,0.5371933,0.6294478
S00035,0,1,0,0,0,0,0,0.6,0.4,0,0,0.22363229,0.48515025
S00036,0,1,0,0,0,0,0.6,0,0.4,0,0,0.8325522,0.697006
S00037,0,1,0,0,0,0,0,0.4,0.6,0,0,0.23292544,0.46481183
S00038,0,1,0,0,0,0,0.4,0,0.6,0,0,0.3296565,0.3132241
S00039,0,1,0,0,0,0.4,0,0.6,0,0,0,0.22942987,0.6780243
S00040,0,1,0,0,0,0.4,0.6,0,0,0,0,0.86299545,0.57338756
S00041,0,1,0,0,0,0.4,0,0,0.6,0,0,0.5655755,0.3257124
S00042,0,1,0,0,0,0.6,0,0.4,0,0,0,0.8294448,0.32618636
S00043,0,1,0,0,0,0.6,0.4,0,0,0,0,0.8738718,0.5387423
S00044,0,1,0,0,0,0.6,0,0,0.4,0,0,0.6433796,0.34916058
S00045,0,0,1,0,0,0,0.2,0.8,0,0,0,0.16104737,0.6333401
S00046,0,0,1,0,0,0,0.8,0.2,0,0,0,0.7420452,0.7561351
S00047,0,0,1,0,0,0,0,0.8,0.2,0,0,0.16000177,0.63223475
S00048,0,0,1,0,0,0,0.8,0,0.2,0,0,0.73780686,0.75503737
S00049,0,0,1,0,0,0,0,0.2,0.8,0,0,0.2473464,0.2633919
S00050,0,0,1,0,0,0,0.2,0,0.8,0,0,0.25241366,0.26212597
S00051,0,0,1,0,0,0.2,0,0.8,0,0,0,0.1631227,0.63293356
S00052,0,0,1,0,0,0.2,0.8,0,0,0,0,0.7444099,0.75229114
S00053,0,0,1,0,0,0.2,0,0,0.8,0,0,0.24818693,0.26244438
S00054,0,0,1,0,0,0.8,0,0.2,0,0,0,0.9007065,0.20726293
S00055,0,0,1,0,0,0.8,0.2,0,0,0,0,0.90081626,0.20728143
S00056,0,0,1,0,0,0.8,0,0,0.2,0,0,0.90069854,0.20724262
S00057,0,0,1,0,0,0,0.4,0.6,0,0,0,0.3924308,0.61432785
S00058,0,0,1,0,0,0,0.6,0.4,0,0,0,0.5164781,0.6896714
S00059,0,0,1,0,0,0,0,0.6,0.4,0,0,0.19594269,0.5528513
S00060,0,0,1,0,0,0,0.6,0,0.4,0,0,0.7181438,0.74916816
S00061,0,0,1,0,0,0,0,0.4,0.6,0,0,0.19016162,0.46056554
S00062,0,0,1,0,0,0,0.4,0,0.6,0,0,0.27322313,0.2644509
S00063,0,0,1,0,0,0.4,0,0.6,0,0,0,0.18485528,0.6162197
S00064,0,0,1,0,0,0.4,0.6,0,0,0,0,0.8068216,0.6068643
S00065,0,0,1,0,0,0.4,0,0,0.6,0,0,0.5972737,0.3574231
S00066,0,0,1,0,0,0.6,0,0.4,0,0,0,0.73698676,0.37342098
S00067,0,0,1,0,0,0.6,0.4,0,0,0,0,0.7527196,0.44268706
S00068,0,0,1,0,0,0.6,0,0,0.4,0,0,0.7150619,0.36548653
S00069,0,0,0,0,1,0,0.2,0.8,0,0,0,0.1016991,0.7418038
S00070,0,0,0,0,1,0,0.8,0.2,0,0,0,0.7726106,0.88028866
S00071,0,0,0,0,1,0,0,0.8,0.2,0,0,0.101653025,0.74164695
S00072,0,0,0,0,1,0,0.8,0,0.2,0,0,0.7725658,0.8802053
S00073,0,0,0,0,1,0,0,0.2,0.8,0,0,0.13489135,0.34821182
S00074,0,0,0,0,1,0,0.2,0,0.8,0,0,0.14335988,0.34916353
S00075,0,0,0,0,1,0.2,0,0.8,0,0,0,0.10169171,0.7416477
S00076,0,0,0,0,1,0.2,0.8,0,0,0,0,0.77275616,0.8802228
S00077,0,0,0,0,1,0.2,0,0,0.8,0,0,0.13728663,0.34361166
S00078,0,0,0,0,1,0.8,0,0.2,0,0,0,0.97338814,0.2815213
S00079,0,0,0,0,1,0.8,0.2,0,0,0,0,0.9734494,0.28156808
S00080,0,0,0,0,1,0.8,0,0,0.2,0,0,0.97340506,0.28141928
S00081,0,0,0,0,1,0,0.4,0.6,0,0,0,0.44754326,0.6564259
S00082,0,0,0,0,1,0,0.6,0.4,0,0,0,0.45489606,0.6582398
S00083,0,0,0,0,1,0,0,0.6,0.4,0,0,0.27252737,0.5644375
S00084,0,0,0,0,1,0,0.6,0,0.4,0,0,0.61003554,0.6931684
S00085,0,0,0,0,1,0,0,0.4,0.6,0,0,0.17509992,0.40691364
S00086,0,0,0,0,1,0,0.4,0,0.6,0,0,0.15829472,0.3556458
S00087,0,0,0,0,1,0.4,0,0.6,0,0,0,0.26257074,0.5912368
S00088,0,0,0,0,1,0.4,0.6,0,0,0,0,0.78847706,0.54059446
S00089,0,0,0,0,1,0.4,0,0,0.6,0,0,0.5329276,0.38995075
S00090,0,0,0,0,1,0.6,0,0.4,0,0,0,0.78333515,0.4156364
S00091,0,0,0,0,1,0.6,0.4,0,0,0,0,0.80179316,0.48403686
S00092,0,0,0,0,1,0.6,0,0,0.4,0,0,0.6858298,0.3922988
S00093,0,0,0,1,0,0,0.2,0.8,0,0,0,0.28392074,0.874145
S00094,0,0,0,1,0,0,0.8,0.2,0,0,0,0.622381,0.9131874
S00095,0,0,0,1,0,0,0,0.8,0,0.2,0,0.28311,0.8741634
S00096,0,0,0,1,0,0,0.8,0,0,0.2,0,0.6291946,0.9044045
S00097,0,0,0,1,0,0,0,0.8,0.2,0,0,0.28244314,0.87460506
S00098,0,0,0,1,0,0,0.8,0,0.2,0,0,0.6218266,0.9049492
S00099,0,0,0,1,0,0,0,0.2,0.8,0,0,0.09238343,0.23202574
S00100,0,0,0,1,0,0,0.2,0,0.8,0,0,0.092390426,0.23202093
S00101,0,0,0,1,0,0,0,0,0.8,0.2,0,0.09238908,0.23204513
S00102,0,0,0,1,0,0.2,0,0.8,0,0,0,0.28470144,0.87493366
S00103,0,0,0,1,0,0.2,0.8,0,0,0,0,0.63129085,0.9124903
S00104,0,0,0,1,0,0.2,0,0,0.8,0,0,0.09238336,0.23202027
S00105,0,0,0,1,0,0.8,0,0.2,0,0,0,0.99999845,0.38451532
S00106,0,0,0,1,0,0.8,0.2,0,0,0,0,0.9999946,0.38450864
S00107,0,0,0,1,0,0.8,0,0,0,0.2,0,1,0.3845148
S00108,0,0,0,1,0,0.8,0,0,0.2,0,0,0.9999964,0.38449243
S00109,0,0,0,1,0,0,0.4,0.6,0,0,0,0.3275204,0.86907035
S00110,0,0,0,1,0,0,0.6,0.4,0,0,0,0.60639757,0.9242552
S00111,0,0,0,1,0,0,0,0.6,0,0.4,0,0.35075596,0.8838281
S00112,0,0,0,1,0,0,0.6,0,0,0.4,0,0.5698328,0.9079505
S00113,0,0,0,1,0,0,0,0.6,0.4,0,0,0.34369487,0.92085516
S00114,0,0,0,1,0,0,0.6,0,0.4,0,0,0.597905,0.89854074
S00115,0,0,0,1,0,0,0,0.4,0.6,0,0,0.3719317,0.9456336
S00116,0,0,0,1,0,0,0.4,0,0.6,0,0,0.5095523,0.92073005
S00117,0,0,0,1,0,0,0,0,0.6,0.4,0,0.42923862,0.94442123
S00118,0,0,0,1,0,0.4,0,0.6,0,0,0,0.3122841,0.8881228
S00119,0,0,0,1,0,0.4,0.6,0,0,0,0,0.5704962,0.94515806
S00120,0,0,0,1,0,0.4,0,0,0.6,0,0,0.4409507,0.988655
S00121,0,0,0,1,0,0.6,0,0.4,0,0,0,0.50958127,0.99888575
S00122,0,0,0,1,0,0.6,0.4,0,0,0,0,0.5437604,0.9650382
S00123,0,0,0,1,0,0.6,0,0,0,0.4,0,0.500713,0.96616983
S00124,0,0,0,1,0,0.6,0,0,0.4,0,0,0.4662013,0.99411535
S00125,1,0,0,0,0,0,0.2,0.8,0,0,0,0.000797291,0.6152935
S00126,1,0,0,0,0,0,0.8,0.2,0,0,0,0.89856946,0.80100656
S00127,1,0,0,0,0,0,0,0.8,0,0.2,0,0,0.6153159
S00128,1,0,0,0,0,0,0.8,0,0,0.2,0,0.8985668,0.8009958
S00129,1,0,0,0,0,0,0,0.8,0.2,0,0,0.000794201,0.61526906
S00130,1,0,0,0,0,0,0.8,0,0.2,0,0,0.89856607,0.8009966
S00131,1,0,0,0,0,0,0,0.2,0.8,0,0,0.34343544,0.08507743
S00132,1,0,0,0,0,0,0.2,0,0.8,0,0,0.34352106,0.08550479
S00133,1,0,0,0,0,0,0,0,0.8,0.2,0,0.3436542,0.08500341
S00134,1,0,0,0,0,0.2,0,0.8,0,0,0,0.000792105,0.61526597
S00135,1,0,0,0,0,0.2,0.8,0,0,0,0,0.8985726,0.8009778
S00136,1,0,0,0,0,0.2,0,0,0.8,0,0,0.34452888,0.08566079
S00137,1,0,0,0,0,0.8,0,0.2,0,0,0,0.74444854,0.10709928
S00138,1,0,0,0,0,0.8,0.2,0,0,0,0,0.7434045,0.10811301
S00139,1,0,0,0,0,0.8,0,0,0,0.2,0,0.7438347,0.10725448
S00140,1,0,0,0,0,0.8,0,0,0.2,0,0,0.74449545,0.107962176
S00141,1,0,0,0,0,0,0.4,0.6,0,0,0,0.54160917,0.009082735
S00142,1,0,0,0,0,0,0.6,0.4,0,0,0,0.5623328,0.014821408
S00143,1,0,0,0,0,0,0,0.6,0,0.4,0,0.50722,0.045149058
S00144,1,0,0,0,0,0,0.6,0,0,0.4,0,0.57411873,0.06111235
S00145,1,0,0,0,0,0,0,0.6,0.4,0,0,0.46135837,0.034097783
S00146,1,0,0,0,0,0,0.6,0,0.4,0,0,0.48741856,0.08529452
S00147,1,0,0,0,0,0,0,0.4,0.6,0,0,0.42927295,0.051593162
S00148,1,0,0,0,0,0,0.4,0,0.6,0,0,0.40578532,0.09772271
S00149,1,0,0,0,0,0,0,0,0.6,0.4,0,0.42773283,0.08683639
S00150,1,0,0,0,0,0.4,0,0.6,0,0,0,0.4995675,0.000954438
S00151,1,0,0,0,0,0.4,0.6,0,0,0,0,0.61357963,0.048069473
S00152,1,0,0,0,0,0.4,0,0,0.6,0,0,0.38168478,0.09150642
S00153,1,0,0,0,0,0.6,0,0.4,0,0,0,0.6846353,0.07564968
S00154,1,0,0,0,0,0.6,0.4,0,0,0,0,0.70876366,0.11291925
S00155,1,0,0,0,0,0.6,0,0,0,0.4,0,0.672814,0.09713072
S00156,1,0,0,0,0,0.6,0,0,0.4,0,0,0.6664395,0.117625885
S00157,0,0.8,0.2,0,0,0,0,1,0,0,0,0.21322833,0.70500016
S00158,0,0.8,0.2,0,0,0,1,0,0,0,0,0.85558444,0.71276945
S00159,0,0.8,0.2,0,0,0,0,0,1,0,0,0.20192504,0.17132112
S00160,0,0.8,0.2,0,0,1,0,0,0,0,0,0.8541343,0.2973518
S00161,0,0.2,0.8,0,0,0,0,1,0,0,0,0.15818158,0.6461867
S00162,0,0.2,0.8,0,0,0,1,0,0,0,0,0.7533313,0.7605862
S00163,0,0.2,0.8,0,0,0,0,0,1,0,0,0.2405565,0.25232205
S00164,0,0.2,0.8,0,0,1,0,0,0,0,0,0.89513975,0.21750954
S00165,0,0.8,0,0,0.2,0,0,1,0,0,0,0.21592242,0.70892406
S00166,0,0.8,0,0,0.2,0,1,0,0,0,0,0.85585225,0.7134823
S00167,0,0.8,0,0,0.2,0,0,0,1,0,0,0.19868103,0.16606726
S00168,0,0.8,0,0,0.2,1,0,0,0,0,0,0.8595912,0.30318746
S00169,0,0,0.8,0,0.2,0,0,1,0,0,0,0.15386425,0.64381075
S00170,0,0,0.8,0,0.2,0,1,0,0,0,0,0.7482352,0.7648183
S00171,0,0,0.8,0,0.2,0,0,0,1,0,0,0.23698309,0.25919613
S00172,0,0,0.8,0,0.2,1,0,0,0,0,0,0.90439934,0.21729404
S00173,0,0.2,0,0,0.8,0,0,1,0,0,0,0.11278108,0.7389441
S00174,0,0.2,0,0,0.8,0,1,0,0,0,0,0.776569,0.8700021
S00175,0,0.2,0,0,0.8,0,0,0,1,0,0,0.13473377,0.33537313
S00176,0,0.2,0,0,0.8,1,0,0,0,0,0,0.9621398,0.28398407
S00177,0,0,0.2,0,0.8,0,0,1,0,0,0,0.107287675,0.73133457
S00178,0,0,0.2,0,0.8,0,1,0,0,0,0,0.77112997,0.8720522
S00179,0,0,0.2,0,0.8,0,0,0,1,0,0,0.13431591,0.33519077
S00180,0,0,0.2,0,0.8,1,0,0,0,0,0,0.96292156,0.27589494
S00181,0,0.8,0,0.2,0,0,0,1,0,0,0,0.21712504,0.71066135
S00182,0,0.8,0,0.2,0,0,1,0,0,0,0,0.85632724,0.7129846
S00183,0,0.8,0,0.2,0,0,0,0,1,0,0,0.19238311,0.16913362
S00184,0,0.8,0,0.2,0,1,0,0,0,0,0,0.8543625,0.3036554
S00185,0,0,0.8,0.2,0,0,0,1,0,0,0,0.15427114,0.6430553
S00186,0,0,0.8,0.2,0,0,1,0,0,0,0,0.74677974,0.7645963
S00187,0,0,0.8,0.2,0,0,0,0,1,0,0,0.24116667,0.2549928
S00188,0,0,0.8,0.2,0,1,0,0,0,0,0,0.8990934,0.2126177
S00189,0,0,0,0.2,0.8,0,0,1,0,0,0,0.10569188,0.7377743
S00190,0,0,0,0.2,0.8,0,1,0,0,0,0,0.76511973,0.87356806
S00191,0,0,0,0.2,0.8,0,0,0,1,0,0,0.13251923,0.33488378
S00192,0,0,0,0.2,0.8,1,0,0,0,0,0,0.9668928,0.28810656
S00193,0,0.2,0,0.8,0,0,0,1,0,0,0,0.27224115,0.8647954
S00194,0,0.2,0,0.8,0,0,1,0,0,0,0,0.639271,0.9035619
S00195,0,0.2,0,0.8,0,0,0,0,1,0,0,0.09908254,0.22514556
S00196,0,0.2,0,0.8,0,1,0,0,0,0,0,0.9850167,0.38789436
S00197,0,0,0.2,0.8,0,0,0,1,0,0,0,0.2730935,0.86345166
S00198,0,0,0.2,0.8,0,0,1,0,0,0,0,0.6392848,0.9029588
S00199,0,0,0.2,0.8,0,0,0,0,1,0,0,0.10350178,0.23191525
S00200,0,0,0.2,0.8,0,1,0,0,0,0,0,0.98875815,0.38196015
S00201,0,0,0,0.8,0.2,0,0,1,0,0,0,0.27252713,0.86673
S00202,0,0,0,0.8,0.2,0,1,0,0,0,0,0.63984495,0.90422773
S00203,0,0,0,0.8,0.2,0,0,0,1,0,0,0.10455548,0.23912765
S00204,0,0,0,0.8,0.2,1,0,0,0,0,0,0.989905,0.3730666
S00205,0.2,0.8,0,0,0,0,0,1,0,0,0,0.2164111,0.708512
S00206,0.2,0.8,0,0,0,0,1,0,0,0,0,0.8569729,0.7142564
S00207,0.2,0.8,0,0,0,0,0,0,1,0,0,0.20538269,0.16565323
S00208,0.2,0.8,0,0,0,1,0,0,0,0,0,0.8487107,0.29884398
S00209,0.2,0,0.8,0,0,0,0,1,0,0,0,0.15073241,0.64155775
S00210,0.2,0,0.8,0,0,0,1,0,0,0,0,0.7486338,0.7638592
S00211,0.2,0,0.8,0,0,0,0,0,1,0,0,0.244536,0.25203702
S00212,0.2,0,0.8,0,0,1,0,0,0,0,0,0.89229107,0.21167997
S00213,0.2,0,0,0,0.8,0,0,1,0,0,0,0.1001648,0.7329998
S00214,0.2,0,0,0,0.8,0,1,0,0,0,0,0.77642304,0.8747175
S00215,0.2,0,0,0,0.8,0,0,0,1,0,0,0.13362764,0.33555487
S00216,0.2,0,0,0,0.8,1,0,0,0,0,0,0.9674163,0.28114814
S00217,0.2,0,0,0.8,0,0,0,1,0,0,0,0.27308503,0.85827184
S00218,0.2,0,0,0.8,0,0,1,0,0,0,0,0.6402757,0.90293825
S00219,0.2,0,0,0.8,0,0,0,0,1,0,0,0.1072151,0.2246746
S00220,0.2,0,0,0.8,0,1,0,0,0,0,0,0.9924722,0.39054367
S00221,0.8,0.2,0,0,0,0,0,1,0,0,0,0.010272498,0.61118776
S00222,0.8,0.2,0,0,0,0,1,0,0,0,0,0.883075,0.7944269
S00223,0.8,0.2,0,0,0,0,0,0,1,0,0,0.33426374,0.09319381
S00224,0.8,0.2,0,0,0,1,0,0,0,0,0,0.7505161,0.11701226
S00225,0.8,0,0.2,0,0,0,0,1,0,0,0,0.018340226,0.61115324
S00226,0.8,0,0.2,0,0,0,1,0,0,0,0,0.8887701,0.7994015
S00227,0.8,0,0.2,0,0,0,0,0,1,0,0,0.3358057,0.10327444
S00228,0.8,0,0.2,0,0,1,0,0,0,0,0,0.76258665,0.120764524
S00229,0.8,0,0,0,0.2,0,0,1,0,0,0,0.011255685,0.61855084
S00230,0.8,0,0,0,0.2,0,1,0,0,0,0,0.8903383,0.80655676
S00231,0.8,0,0,0,0.2,0,0,0,1,0,0,0.34195498,0.09593147
S00232,0.8,0,0,0,0.2,1,0,0,0,0,0,0.7571974,0.113043666
S00233,0.8,0,0,0.2,0,0,0,1,0,0,0,0.015720574,0.6243535
S00234,0.8,0,0,0.2,0,0,1,0,0,0,0,0.8822132,0.8068658
S00235,0.8,0,0,0.2,0,0,0,0,1,0,0,0.32707763,0.09660476
S00236,0.8,0,0,0.2,0,1,0,0,0,0,0,0.75349826,0.12352472
S00237,0,0.6,0.4,0,0,0,0,1,0,0,0,0.1909896,0.68694115
S00238,0,0.6,0.4,0,0,0,1,0,0,0,0,0.80628127,0.7338803
S00239,0,0.6,0.4,0,0,0,0,0,1,0,0,0.2177045,0.20533249
S00240,0,0.6,0.4,0,0,1,0,0,0,0,0,0.86560017,0.27184454
S00241,0,0.4,0.6,0,0,0,0,1,0,0,0,0.17730826,0.6710194
S00242,0,0.4,0.6,0,0,0,1,0,0,0,0,0.7820062,0.74963397
S00243,0,0.4,0.6,0,0,0,0,0,1,0,0,0.22917075,0.22611316
S00244,0,0.4,0.6,0,0,1,0,0,0,0,0,0.87687194,0.2494564
S00245,0,0.6,0,0,0.4,0,0,1,0,0,0,0.1713562,0.73017615
S00246,0,0.6,0,0,0.4,0,1,0,0,0,0,0.79379666,0.82593703
S00247,0,0.6,0,0,0.4,0,0,0,1,0,0,0.17686492,0.3113861
S00248,0,0.6,0,0,0.4,1,0,0,0,0,0,0.88557327,0.29863447
S00249,0,0,0.6,0,0.4,0,0,1,0,0,0,0.13165216,0.67978716
S00250,0,0,0.6,0,0.4,0,1,0,0,0,0,0.74989986,0.7987211
S00251,0,0,0.6,0,0.4,0,0,0,1,0,0,0.21121499,0.27485326
S00252,0,0,0.6,0,0.4,1,0,0,0,0,0,0.921024,0.2378476
S00253,0,0.4,0,0,0.6,0,0,1,0,0,0,0.14853749,0.7380961
S00254,0,0.4,0,0,0.6,0,1,0,0,0,0,0.7859099,0.8432925
S00255,0,0.4,0,0,0.6,0,0,0,1,0,0,0.16362165,0.3150267
S00256,0,0.4,0,0,0.6,1,0,0,0,0,0,0.9173427,0.29517764
S00257,0,0,0.4,0,0.6,0,0,1,0,0,0,0.12155192,0.70142394
S00258,0,0,0.4,0,0.6,0,1,0,0,0,0,0.7533593,0.81765634
S00259,0,0,0.4,0,0.6,0,0,0,1,0,0,0.19707188,0.29126528
S00260,0,0,0.4,0,0.6,1,0,0,0,0,0,0.94159573,0.2580026
S00261,0,0.6,0,0.4,0,0,0,1,0,0,0,0.22400165,0.74377924
S00262,0,0.6,0,0.4,0,0,1,0,0,0,0,0.6660909,0.8283018
S00263,0,0.6,0,0.4,0,0,0,0,1,0,0,0.16978794,0.18648484
S00264,0,0.6,0,0.4,0,1,0,0,0,0,0,0.88087773,0.32999185
S00265,0,0,0.6,0.4,0,0,0,1,0,0,0,0.26350063,0.78483725
S00266,0,0,0.6,0.4,0,0,1,0,0,0,0,0.7162052,0.7869709
S00267,0,0,0.6,0.4,0,0,0,0,1,0,0,0.18555005,0.2518117
S00268,0,0,0.6,0.4,0,1,0,0,0,0,0,0.92963403,0.37485784
S00269,0,0,0,0.4,0.6,0,0,1,0,0,0,0.19538976,0.8012325
S00270,0,0,0,0.4,0.6,0,1,0,0,0,0,0.73713756,0.86211354
S00271,0,0,0,0.4,0.6,0,0,0,1,0,0,0.12971495,0.29495215
S00272,0,0,0,0.4,0.6,1,0,0,0,0,0,0.9604087,0.31447068
S00273,0,0.4,0,0.6,0,0,0,1,0,0,0,0.2253024,0.75276804
