id,pred_avg_Pnma_uncorrected,pred_avg_Pbcm_uncorrected
S00001,0.447967633,0.4723172
S00002,0.467585296,0.495891465
S00003,0.520925888,0.499088425
S00004,0.482886122,0.50669352
S00005,0.449062307,0.445881825
S00006,0.461854226,0.4629291
S00007,0.469357292,0.47017218
S00008,0.490165154,0.48519263
S00009,0.443191478,0.441045285
S00010,0.457454326,0.46040894
S00011,0.462634199,0.458536995
S00012,0.48937265,0.485997645
S00013,0.532733155,0.47888683
S00014,0.534472317,0.49233623
S00015,0.562281421,0.502178185
S00016,0.560998353,0.52242655
S00017,0.535677146,0.4785106
S00018,0.548970025,0.506899335
S00019,0.580935245,0.51930522
S00020,0.566588873,0.5232938
S00021,0.448313151,0.4725897
S00022,0.467719022,0.496080055
S00023,0.456972399,0.47344735
S00024,0.476522631,0.49768769
S00025,0.509509288,0.497469265
S00026,0.509812984,0.49717769
S00027,0.448121504,0.4720599
S00028,0.4675345,0.495440125
S00029,0.509321173,0.49707374
S00030,0.48346396,0.50727735
S00031,0.483357012,0.50709845
S00032,0.492611481,0.5078164
S00033,0.454154584,0.47864741
S00034,0.461217915,0.4866504
S00035,0.475280597,0.4828286
S00036,0.485191565,0.49940522
S00037,0.48659225,0.485921155
S00038,0.495872306,0.495613375
S00039,0.448480668,0.47195565
S00040,0.473021086,0.499482155
S00041,0.502187553,0.50204775
S00042,0.482812488,0.506960725
S00043,0.474224711,0.50060172
S00044,0.493308333,0.50151175
S00045,0.449455842,0.44616092
S00046,0.461949826,0.463058695
S00047,0.449579921,0.44700934
S00048,0.461896973,0.46367225
S00049,0.469173226,0.46877403
S00050,0.469340714,0.466951525
S00051,0.449171485,0.44567944
S00052,0.461789683,0.462648215
S00053,0.468770336,0.46755169
S00054,0.490710273,0.48601045
S00055,0.490677278,0.485797375
S00056,0.490749261,0.487109715
S00057,0.457490074,0.45526291
S00058,0.45791007,0.457114115
S00059,0.454335448,0.453022785
S00060,0.461659005,0.46509023
S00061,0.458371038,0.45681081
S00062,0.469727944,0.467049735
S00063,0.450254155,0.446072025
S00064,0.470020596,0.46941756
S00065,0.475043014,0.474080605
S00066,0.478217908,0.47477414
S00067,0.475386104,0.4724704
S00068,0.478017328,0.477795395
S00069,0.443010496,0.44085628
S00070,0.45750543,0.46052807
