id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1,cluster
P01,1,0,0,0,0,1,0,0,0,0,0.7023008,0.9532685,2
P02,0,1,0,0,0,1,0,0,0,0,0.7447204,0.71942204,2
P03,0,1,0,0,0,0,1,0,0,0,0.31274763,0.7197479,1
P04,0,1,0,0,0,0,0,1,0,0,0.7784694,0.11809198,0
P05,0,0,1,0,0,1,0,0,0,0,0.62985295,0.68620753,2
P06,0,0,1,0,0,0,1,0,0,0,0.28748047,0.5528508,1
P07,0,0,1,0,0,0,0,1,0,0,0.7141393,0.24989347,0
P08,0,0,0,1,0,0,1,0,0,0,0.13370912,0.7874609,1
P09,0,0,0,1,0,0,0,1,0,0,0.94659257,0.33354056,0
P10,0,0,0,0,1,1,0,0,0,0,0.5960714,0.81155086,2
P11,0,0,0,0,1,0,1,0,0,0,0.17962249,0.63699496,1
P12,0,0.5,0.5,0,0,0,0.2,0.8,0,0,0.7705384,0.19523,0
P13,0,0.5,0,0.5,0,0,0.25,0.75,0,0,0.85750544,0.22235738,0
P14,1,0,0,0,0,0.5,0,0,0.5,0,0.20245942,0.1361239,3
P15,0.5,0,0,0.5,0,0,1,0,0,0,0.08816369,0.73419446,1
P16,0.4,0,0,0,0.6,0,0,1,0,0,0.6315957,0.12479997,0
P17,1,0,0,0,0,0.8,0,0,0,0.2,0.71181124,0.9689253,2
P18,1,0,0,0,0,0,0,0.8,0,0.2,0.52955586,0.026658643,3
P19,1,0,0,0,0,0,0,0,0.9,0.1,0.2760007,0.16528098,3
P20,0,0.5,0,0.5,0,0,0,1,0,0,0.879218,0.21685736,0
P21,0,0.2,0,0.8,0,0,0,1,0,0,0.93963736,0.32407597,0
P22,0,0,0,0.625,0.375,1,0,0,0,0,0.84214336,0.82865393,2
P23,0,0,0,0,1,0,0.5,0.5,0,0,0.40773317,0.5926913,1
P24,0.5,0,0,0,0.5,0,1,0,0,0,0.1040351,0.59964395,1
P25,0.75,0,0.25,0,0,0,0.5,0.5,0,0,0.100589976,0.4357202,1
P26,0.7,0,0.3,0,0,0.75,0,0.25,0,0,0.67618626,0.9185299,2
P27,0,1,0,0,0,0.7,0,0,0,0.3,0.7447239,0.6838725,2
