id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1,count,entropy,potential_initial,uncertainty_initial,potential_final,uncertainty_final
P01,1,0,0,0,0,1,0,0,0,0,0,0.7481132,0.10897934,2,0,,,,
P02,1,0,0,0,0,0,1,0,0,0,0,0.89688843,0.80125964,2,0,,,,
P03,1,0,0,0,0,0,0,1,0,0,0,0.002449281,0.61573553,2,0,,,,
P04,1,0,0,0,0,0,0,0,1,0,0,0.34104535,0.08624759,2,0,,,,
P05,0,1,0,0,0,1,0,0,0,0,0,0.8502424,0.3049748,2,0,,,,
P06,0,1,0,0,0,0,1,0,0,0,0,0.8580094,0.70944846,2,0,,,,
P07,0,1,0,0,0,0,0,1,0,0,0,0.21973282,0.70678854,2,0,,,,
P08,0,1,0,0,0,0,0,0,1,0,0,0.19784409,0.16112952,2,0,,,,
P09,0,0,1,0,0,1,0,0,0,0,0,0.90063304,0.20811667,2,0,,,,
P10,0,0,1,0,0,0,1,0,0,0,0,0.74653864,0.7602849,2,0,,,,
P11,0,0,1,0,0,0,0,1,0,0,0,0.15577246,0.6399943,2,0,,,,
P12,0,0,1,0,0,0,0,0,1,0,0,0.24484739,0.25877842,2,0,,,,
P13,0,0,0,1,0,1,0,0,0,0,0,0.99845177,0.38418528,2,0,,,,
P14,0,0,0,1,0,0,1,0,0,0,0,0.6364783,0.906123,2,0,,,,
P15,0,0,0,1,0,0,0,1,0,0,0,0.2759781,0.871281,2,0,,,,
P16,0,0,0,1,0,0,0,0,1,0,0,0.09402267,0.23174489,2,0,,,,
P17,0,0,0,0,1,1,0,0,0,0,0,0.9724464,0.28131384,2,0,,,,
P18,0,0,0,0,1,0,1,0,0,0,0,0.77255964,0.87924594,2,0,,,,
P19,0,0,0,0,1,0,0,1,0,0,0,0.10196482,0.74094266,2,0,,,,
P20,0,0,0,0,1,0,0,0,1,0,0,0.1322302,0.33965123,2,0,,,,
P21,0,0.5,0.5,0,0,0,0.2,0.8,0,0,0,0.18780583,0.675884,4,9.923171408,,,,
P22,0,0.5,0,0.5,0,0,0.25,0.75,0,0,0,0.2329658,0.743873,4,10.43808005,,,,
P23,1,0,0,0,0,0.5,0,0,0.5,0,0,0.6626718,0.116999954,3,5.762825659,,,,
P24,0.5,0,0,0.5,0,0,1,0,0,0,0,0.8619171,0.8308569,3,5.762825659,,,,
P25,0.4,0,0,0,0.6,0,0,1,0,0,0,0.078950964,0.6960947,3,5.595419,,,,
P26,0.6,0,0,0,0.4,0,0,1,0,0,0,0.06318304,0.68046486,3,5.595419,,,,
P27,1,0,0,0,0,0.8,0,0,0,0.2,0,0.7438334,0.10725378,3,4.160345749,,,,
